DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      Myccost_ISSP585Clm50BgcCrop_kparams  (yrs 2015-2048)
 
REFERENCE CASE (case2): Myccost_ISSP585Clm50BgcCrop_control  (yrs 2015-2048)
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                     0.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                           -1.912
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                -33.776
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -29.021
NET_NMIN(TgN/y) Net N Mineralization                                       4.746
NDEPLOY(TgN/y) Total N Deployed in New Growth                            -10.270
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                        -0.886
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                 -13.586
DENIT(TgN/y) Total Denitrification                                         2.118
SOIL3N(TgN) soil organic matter N (slow pool)                             -5.086
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                   107.128
NECM(TgN/y) ECM-associated N uptake flux                                 212.396
NFIX(TgN/y) Symbiotic BNF uptake flux                                    -17.121
NRETRANS(TgN/y) Retranslocated N uptake flux                               3.323
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                    1.159
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.019
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.048
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                               -0.229
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                            -2.324
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                          -0.007
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                    -0.073
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        2.775
SMINN(TgN) soil mineral N                                                -68.025
RETRANSN(TgN) plant pool of retranslocated N                              -0.634
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.020
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.014
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                       0.002
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                          0.053
FAREA_BURNED(proportion/y) fractional area burned                         -0.000
BAF_CROP(proportion/y) fractional area burned - crop                       0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                               -0.004
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.434
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.426
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.383
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.377
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.421
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.827
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.212
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                         -0.742
WOODC_ALLOC(PgC/y) Wood C Allocation                                      -0.090
WOODC_LOSS(PgC/y) Wood C Loss                                             -0.011
